duration,num_subscribers,influencer,dow,views,view_rate,has_tags,prod_focus,reach,media_type,post_type,influencer_type,FTC_Converted,In_Person_Converted,Giveaway_Converted,Reoccuring_Converted,ViewRate_Binary,id
530,280345,ABC Children's ToysReview,Monday,3455,1.23,0,1,Large Scale (100K-500K),Likely Paid,Review/Product Shoutout,Kid Toy,0,0,0,0,0,1
1000,280345,ABC Children's ToysReview,Monday,2104,0.75,0,1,Large Scale (100K-500K),Likely Organic,Review/Product Shoutout,Kid Toy,0,0,0,0,0,2
290,13413,"ADULTING, with children",Monday,3518,28.03,0,1,Mid Scale (10K-100K),Likely Organic,Review/Product Shoutout,Toy Reviewer,0,0,0,0,1,3
475,13413,"ADULTING, with children",Thursday,8849,70.5,0,1,Mid Scale (10K-100K),100% Product Was Sent,Unboxing,Toy Reviewer,1,1,0,0,1,4
515,13413,"ADULTING, with children",Thursday,782215,6231.8,0,1,Mid Scale (10K-100K),100% Product Was Sent,Unboxing,Toy Reviewer,1,0,0,0,1,5
461,13413,"ADULTING, with children",Saturday,10896,86.81,0,1,Mid Scale (10K-100K),Likely Organic,Unboxing,Toy Reviewer,0,0,0,0,1,6
335,13413,"ADULTING, with children",Monday,113957,907.88,0,1,Mid Scale (10K-100K),100% Organic,Hacks/Insider Content,Toy Reviewer,0,0,1,0,1,7
267,13413,"ADULTING, with children",Friday,8075,64.33,0,1,Mid Scale (10K-100K),Likely Organic,Review/Product Shoutout,Toy Reviewer,0,0,0,0,1,8
369,13413,"ADULTING, with children",Saturday,23191,184.76,0,1,Mid Scale (10K-100K),Likely Product Was Sent,Review/Product Shoutout,Toy Reviewer,0,0,0,0,1,9
625,13413,"ADULTING, with children",Monday,1695,13.5,0,1,Mid Scale (10K-100K),Likely Organic,Challenge,Toy Reviewer,0,0,0,0,0,10
170,13414,"ADULTING, with children",Wednesday,49080,391.01,0,1,Mid Scale (10K-100K),Likely Organic,Hacks/Insider Content,Toy Reviewer,0,0,0,0,1,11
219,13414,"ADULTING, with children",Friday,233822,1862.83,0,1,Mid Scale (10K-100K),Likely Organic,Review/Product Shoutout,Toy Reviewer,0,0,0,0,1,12
520,13414,"ADULTING, with children",Sunday,24319,193.75,0,1,Mid Scale (10K-100K),Likely Organic,Review/Product Shoutout,Toy Reviewer,0,0,0,0,1,13
189,13414,"ADULTING, with children",Wednesday,4361,34.74,0,1,Mid Scale (10K-100K),Likely Organic,Review/Product Shoutout,Toy Reviewer,0,0,1,0,1,14
278,13414,"ADULTING, with children",Friday,158891,1265.86,0,1,Mid Scale (10K-100K),100% Organic,Retailer Visit,Toy Reviewer,0,0,0,0,1,15
314,13414,"ADULTING, with children",Saturday,129360,1030.59,0,1,Mid Scale (10K-100K),Likely Organic,Challenge,Toy Reviewer,0,0,0,0,1,16
